,precision,recall,f1-score,support
Aphids,1.0,1.0,1.0,78.0
Army worm,0.9873417721518988,1.0,0.9936305732484076,78.0
Bacterial blight,0.9873417721518988,0.9873417721518988,0.9873417721518988,79.0
Healthy,1.0,0.9871794871794872,0.9935483870967742,78.0
Powdery mildew,0.9871794871794872,0.9871794871794872,0.9871794871794872,78.0
Target spot,0.987012987012987,0.987012987012987,0.987012987012987,77.0
Unclassified,1.0,1.0,1.0,400.0
accuracy,0.9953917050691244,0.9953917050691244,0.9953917050691244,0.9953917050691244
macro avg,0.992696574070896,0.9926733905034085,0.992673315241365,868.0
weighted avg,0.9954062882809309,0.9953917050691244,0.9953916577268711,868.0
